id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
17137,30,20000,RENT,2.0,MEDICAL,C,3000,13.49,0.15,Y,7,0
36385,29,70000,RENT,3.0,DEBTCONSOLIDATION,A,5000,8.9,0.07,N,6,0
7449,22,48956,RENT,3.0,MEDICAL,B,3000,10.0,0.06,N,4,0
27097,27,25000,RENT,2.0,PERSONAL,B,6500,11.11,0.28,N,8,0
54152,32,65000,MORTGAGE,16.0,PERSONAL,A,6000,5.42,0.09,N,10,0
23991,25,65000,RENT,2.0,VENTURE,B,12000,9.91,0.18,N,2,0
22441,29,35000,MORTGAGE,13.0,MEDICAL,B,8000,11.49,0.23,N,9,0
53921,23,85000,MORTGAGE,0.0,MEDICAL,B,15000,11.58,0.18,N,3,0
45410,24,68000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,7500,11.89,0.11,N,2,0
54508,28,48500,RENT,7.0,MEDICAL,B,6000,10.65,0.12,N,5,0
11042,28,140000,MORTGAGE,12.0,PERSONAL,A,7400,6.03,0.05,N,7,0
57287,29,85000,RENT,1.0,EDUCATION,B,10000,12.69,0.12,N,9,0
51941,28,25200,RENT,2.0,VENTURE,B,7000,11.48,0.27,N,5,0
38248,24,65000,MORTGAGE,8.0,PERSONAL,D,7000,14.84,0.11,Y,4,0
14707,37,25000,RENT,2.0,EDUCATION,B,4000,10.95,0.16,N,15,1
790,22,69000,MORTGAGE,6.0,EDUCATION,D,8000,14.91,0.12,N,2,1
21303,25,70550,RENT,9.0,MEDICAL,D,6000,15.62,0.08,N,4,1
33783,26,65000,RENT,10.0,MEDICAL,B,5000,9.99,0.08,N,2,0
46158,23,43000,RENT,2.0,DEBTCONSOLIDATION,A,3000,7.88,0.07,N,4,0
50234,25,108000,MORTGAGE,9.0,MEDICAL,B,20000,12.18,0.19,N,2,0
16527,28,85000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,5000,12.21,0.06,N,5,0
1984,34,60000,RENT,6.0,PERSONAL,B,12000,9.91,0.2,N,9,0
26071,27,98004,MORTGAGE,11.0,DEBTCONSOLIDATION,C,2500,13.99,0.03,N,9,0
42417,22,25000,RENT,0.0,MEDICAL,A,9800,7.66,0.39,N,3,1
46027,39,32000,RENT,4.0,PERSONAL,A,4500,7.68,0.14,N,12,0
55493,23,91000,MORTGAGE,5.0,MEDICAL,B,18000,10.2,0.2,N,3,0
17237,23,65000,RENT,5.0,DEBTCONSOLIDATION,B,25000,9.99,0.37,N,2,1
38247,21,30000,MORTGAGE,5.0,EDUCATION,A,8000,5.42,0.27,N,3,0
